[+] http://api.netflix.com/robots.txt
[x] http://api.netflix.com/wp-admin/includes/ Forbidden
[x] http://api.netflix.com/wp-content/uploads/db-backup Forbidden
[x] http://api.netflix.com/wp-admin.php Forbidden
[x] http://api.netflix.com/wp-includes/ Forbidden
[x] http://api.netflix.com/wp-login.php Forbidden
[x] http://api.netflix.com/wp-content/ Forbidden
[x] http://api.netflix.com/wp-json/ Forbidden
[x] http://api.netflix.com/wp-json/wp/v2/users Forbidden
[x] http://api.netflix.com/wp-json/wp/v2/posts Forbidden
[x] http://api.netflix.com/*.log Forbidden
[x] http://api.netflix.com/.vagrant Forbidden
[x] http://api.netflix.com/wp-config.php Forbidden
[x] http://api.netflix.com/wp-content/advanced-cache.php Forbidden
[x] http://api.netflix.com/wp-content/backup-db/ Forbidden
[x] http://api.netflix.com/wp-content/backups/ Forbidden
[x] http://api.netflix.com/wp-content/blogs.dir/ Forbidden
[x] http://api.netflix.com/wp-content/upgrade/ Forbidden
[x] http://api.netflix.com/wp-content/cache/ Forbidden
[x] http://api.netflix.com/wp-content/uploads/ Forbidden
[x] http://api.netflix.com/wp-content/wp-cache-config.php Forbidden
[x] http://api.netflix.com/ConfigCache.php Forbidden
[x] http://api.netflix.com/Filesystem.php Forbidden
[x] http://api.netflix.com/WebServer.php Forbidden
[x] http://api.netflix.com/webserver.xml Forbidden
[x] http://api.netflix.com/Security.php Forbidden
[x] http://api.netflix.com/security.php Forbidden
[x] http://api.netflix.com/apache2triadcp/ Forbidden
[x] http://api.netflix.com/apache.conf Forbidden
[x] http://api.netflix.com/config-db.php Forbidden
[x] http://api.netflix.com/admin/home/collection/ Forbidden
[x] http://api.netflix.com/AuthenticationEvents.php Forbidden
[x] http://api.netflix.com/comments/%22slapd.conf/%22ftp:/ManyServers.htm Forbidden
[x] http://api.netflix.com/wp-content/plugins/hello.php Forbidden
[x] http://api.netflix.com/wp-content/themes/.git/ Forbidden
[x] http://api.netflix.com/wp-includes/vars.php Forbidden
[x] http://api.netflix.com/wp-includes/update.php Forbidden
[x] http://api.netflix.com/wp-includes/theme.php Forbidden
[x] http://api.netflix.com/wp-includes/theme-compat/sidebar.php Forbidden
[x] http://api.netflix.com/wp-includes/theme-compat/header.php Forbidden
[x] http://api.netflix.com/wp-includes/theme-compat/footer.php Forbidden
[x] http://api.netflix.com/wp-includes/theme-compat/comments.php Forbidden
[x] http://api.netflix.com/wp-includes/theme-compat/comments-popup.php Forbidden
[x] http://api.netflix.com/wp-includes/template-loader.php Forbidden
[x] http://api.netflix.com/wp-includes/taxonomy.php Forbidden
[x] http://api.netflix.com/wp-includes/shortcodes.php Forbidden
[x] http://api.netflix.com/wp-includes/script-loader.php Forbidden
[x] http://api.netflix.com/wp-includes/rss.php Forbidden
