[+] https://devstaging.pcapcloud.com/robots.txt
[x] https://devstaging.pcapcloud.com/project_error.log Forbidden
[x] https://devstaging.pcapcloud.com/wp-content/themes/.git/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/branches/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/COMMIT_EDITMSG Forbidden
[x] https://devstaging.pcapcloud.com/.git/config Forbidden
[x] https://devstaging.pcapcloud.com/.git/configf Forbidden
[x] https://devstaging.pcapcloud.com/_layouts/userdisp.aspx?Force=True&id=6 Forbidden
[x] https://devstaging.pcapcloud.com/.git/description Forbidden
[x] https://devstaging.pcapcloud.com/.git/FETCH_HEAD Forbidden
[x] https://devstaging.pcapcloud.com/.git/HEAD Forbidden
[x] https://devstaging.pcapcloud.com/.git/hooks/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/index Forbidden
[x] https://devstaging.pcapcloud.com/.git/info/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/info/exclude Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/HEAD Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/heads Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/remotes Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/heads/master Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/remotes/origin/HEAD Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/remotes/origin Forbidden
[x] https://devstaging.pcapcloud.com/.git/logs/refs/remotes/origin/master Forbidden
[x] https://devstaging.pcapcloud.com/.git/objects/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/packed-refs Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/ Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/heads Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/heads/master Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/remotes/origin Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/remotes Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/remotes/origin/HEAD Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/remotes/origin/master Forbidden
[x] https://devstaging.pcapcloud.com/.git/refs/tags Forbidden
[x] https://devstaging.pcapcloud.com/index.bak Forbidden
[x] https://devstaging.pcapcloud.com/admin.bak Forbidden
[x] https://devstaging.pcapcloud.com/.old Forbidden
[x] https://devstaging.pcapcloud.com/upload/ Forbidden
[x] https://devstaging.pcapcloud.com/agents/ Forbidden
[x] https://devstaging.pcapcloud.com/demos/ Forbidden
[x] https://devstaging.pcapcloud.com/edwina/ Forbidden
[x] https://devstaging.pcapcloud.com/example/ Forbidden
[x] https://devstaging.pcapcloud.com/extension/ Forbidden
[x] https://devstaging.pcapcloud.com/iissamples/ Forbidden
[x] https://devstaging.pcapcloud.com/homebrew/ Forbidden
[x] https://devstaging.pcapcloud.com/culeadora.txt Forbidden
[x] https://devstaging.pcapcloud.com/dead.letter Forbidden
[x] https://devstaging.pcapcloud.com/dump.inc.old Forbidden
[x] https://devstaging.pcapcloud.com/dump.old Forbidden
[x] https://devstaging.pcapcloud.com/dump.sql.old Forbidden
[x] https://devstaging.pcapcloud.com/epsadmin Forbidden
[x] https://devstaging.pcapcloud.com/error.log Forbidden
[x] https://devstaging.pcapcloud.com/etc/hosts Forbidden
[x] https://devstaging.pcapcloud.com/etc/passwd Forbidden
[+] https://devstaging.pcapcloud.com/favicon.ico
[x] https://devstaging.pcapcloud.com/global.asa.bak Forbidden
[x] https://devstaging.pcapcloud.com/Global.asa.bak Forbidden
[x] https://devstaging.pcapcloud.com/global.asa.temp Forbidden
[x] https://devstaging.pcapcloud.com/global.asa.old Forbidden
[x] https://devstaging.pcapcloud.com/global.asax.bak Forbidden
[x] https://devstaging.pcapcloud.com/global.asa.tmp Forbidden
[x] https://devstaging.pcapcloud.com/global.asax.old Forbidden
[x] https://devstaging.pcapcloud.com/Global.asax.bak Forbidden
[x] https://devstaging.pcapcloud.com/global.asax.temp Forbidden
[x] https://devstaging.pcapcloud.com/global.asax.tmp Forbidden
[x] https://devstaging.pcapcloud.com/htaccess.bak Forbidden
[x] https://devstaging.pcapcloud.com/htaccess.old Forbidden
[x] https://devstaging.pcapcloud.com/htpasswd.bak Forbidden
[x] https://devstaging.pcapcloud.com/htpasswd/htpasswd.bak Forbidden
[x] https://devstaging.pcapcloud.com/httpd/logs/error.log Forbidden
[x] https://devstaging.pcapcloud.com/id_dsa Forbidden
[x] https://devstaging.pcapcloud.com/id_rsa Forbidden
[x] https://devstaging.pcapcloud.com/import_error.log Forbidden
[x] https://devstaging.pcapcloud.com/inc/config.inc Forbidden
[x] https://devstaging.pcapcloud.com/index.old Forbidden
[x] https://devstaging.pcapcloud.com/index.php.bak Forbidden
[x] https://devstaging.pcapcloud.com/index.temp Forbidden
