[+] https://www.marcus.co.uk/robots.txt
[x] https://www.marcus.co.uk/project_error.log Forbidden
[x] https://www.marcus.co.uk/wp-content/themes/.git/ Forbidden
[x] https://www.marcus.co.uk/.git/ Forbidden
[x] https://www.marcus.co.uk/.git/branches/ Forbidden
[x] https://www.marcus.co.uk/.git/COMMIT_EDITMSG Forbidden
[x] https://www.marcus.co.uk/.git/config Forbidden
[x] https://www.marcus.co.uk/.git/configf Forbidden
[x] https://www.marcus.co.uk/.git/description Forbidden
[x] https://www.marcus.co.uk/.git/FETCH_HEAD Forbidden
[x] https://www.marcus.co.uk/.git/HEAD Forbidden
[x] https://www.marcus.co.uk/.git/hooks/ Forbidden
[x] https://www.marcus.co.uk/.git/index Forbidden
[x] https://www.marcus.co.uk/.git/info/ Forbidden
[x] https://www.marcus.co.uk/.git/info/exclude Forbidden
[x] https://www.marcus.co.uk/.git/logs/ Forbidden
[x] https://www.marcus.co.uk/.git/logs/HEAD Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/heads Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/heads/master Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/remotes Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/remotes/origin Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/remotes/origin/HEAD Forbidden
[x] https://www.marcus.co.uk/.git/logs/refs/remotes/origin/master Forbidden
[x] https://www.marcus.co.uk/.git/objects/ Forbidden
[x] https://www.marcus.co.uk/.git/packed-refs Forbidden
[x] https://www.marcus.co.uk/.git/refs/ Forbidden
[x] https://www.marcus.co.uk/.git/refs/heads/master Forbidden
[x] https://www.marcus.co.uk/.git/refs/heads Forbidden
[x] https://www.marcus.co.uk/.git/refs/remotes Forbidden
[x] https://www.marcus.co.uk/.git/refs/remotes/origin/HEAD Forbidden
[x] https://www.marcus.co.uk/.git/refs/remotes/origin Forbidden
[x] https://www.marcus.co.uk/.git/refs/remotes/origin/master Forbidden
[x] https://www.marcus.co.uk/.git/refs/tags Forbidden
[x] https://www.marcus.co.uk/index.bak Forbidden
[x] https://www.marcus.co.uk/admin.bak Forbidden
[x] https://www.marcus.co.uk/.old Forbidden
[x] https://www.marcus.co.uk/Security/ Forbidden
[+] https://www.marcus.co.uk/sitemap.xml
[x] https://www.marcus.co.uk/XML/ Forbidden
[x] https://www.marcus.co.uk/abajo/ Forbidden
[x] https://www.marcus.co.uk/bartman/ Forbidden
[x] https://www.marcus.co.uk/buddy/ Forbidden
[x] https://www.marcus.co.uk/clear/ Forbidden
[x] https://www.marcus.co.uk/clusters/ Forbidden
[x] https://www.marcus.co.uk/data/runtime/mtmp/system Forbidden
[x] https://www.marcus.co.uk/data/runtime/mtmp/lmdb/randomVal/lock.mdb Forbidden
[x] https://www.marcus.co.uk/dookie/ Forbidden
[x] https://www.marcus.co.uk/environ/ Forbidden
[x] https://www.marcus.co.uk/formupdate/ Forbidden
[x] https://www.marcus.co.uk/georgia/ Forbidden
[x] https://www.marcus.co.uk/indian/ Forbidden
[x] https://www.marcus.co.uk/jsps/ Forbidden
[x] https://www.marcus.co.uk/million/ Forbidden
[x] https://www.marcus.co.uk/modem/ Forbidden
[x] https://www.marcus.co.uk/pam/ Forbidden
[x] https://www.marcus.co.uk/popcorn/ Forbidden
[x] https://www.marcus.co.uk/settings/site.ini Forbidden
[x] https://www.marcus.co.uk/system/ Forbidden
[x] https://www.marcus.co.uk/web.config Forbidden
[x] https://www.marcus.co.uk/toby/ Forbidden
[x] https://www.marcus.co.uk/webdav/ Forbidden
[x] https://www.marcus.co.uk/!.htaccess Forbidden
[x] https://www.marcus.co.uk/!.htpasswd Forbidden
[x] https://www.marcus.co.uk/.adm Forbidden
[x] https://www.marcus.co.uk/.adminer.php.swp Forbidden
[x] https://www.marcus.co.uk/.bak Forbidden
[x] https://www.marcus.co.uk/.bash_history Forbidden
[x] https://www.marcus.co.uk/.bashrc Forbidden
[x] https://www.marcus.co.uk/.bzr/README Forbidden
[x] https://www.marcus.co.uk/.cc-ban.txt.bak Forbidden
[x] https://www.marcus.co.uk/.config.php.swp Forbidden
[x] https://www.marcus.co.uk/.configuration.php.swp Forbidden
[x] https://www.marcus.co.uk/.DS_Store Forbidden
[x] https://www.marcus.co.uk/.gitignore.swp Forbidden
[x] https://www.marcus.co.uk/.hg/ Forbidden
[x] https://www.marcus.co.uk/.hg/dirstate Forbidden
[x] https://www.marcus.co.uk/.hg/requires Forbidden
[x] https://www.marcus.co.uk/.hg/store/data/ Forbidden
[x] https://www.marcus.co.uk/.hg/undo.dirstate Forbidden
[x] https://www.marcus.co.uk/.hg/store/undo Forbidden
[x] https://www.marcus.co.uk/.history Forbidden
[x] https://www.marcus.co.uk/.htaccess Forbidden
[x] https://www.marcus.co.uk/.htaccess.bak Forbidden
[x] https://www.marcus.co.uk/.htaccess.old Forbidden
[x] https://www.marcus.co.uk/.htpasswd Forbidden
[x] https://www.marcus.co.uk/.htpasswd.bak Forbidden
[x] https://www.marcus.co.uk/.idea/ Forbidden
[x] https://www.marcus.co.uk/.idea/copyright/profiles_settings.xml Forbidden
[x] https://www.marcus.co.uk/.idea/compiler.xml Forbidden
[x] https://www.marcus.co.uk/.idea/.name Forbidden
[x] https://www.marcus.co.uk/.idea/dataSources.local.xml Forbidden
[x] https://www.marcus.co.uk/.idea/dataSources.ids Forbidden
[x] https://www.marcus.co.uk/.idea/dataSources.xml Forbidden
[x] https://www.marcus.co.uk/.idea/drush_stats.iml Forbidden
[x] https://www.marcus.co.uk/.idea/encodings.xml Forbidden
[x] https://www.marcus.co.uk/.idea/deployment.xml Forbidden
[x] https://www.marcus.co.uk/.idea/misc.xml Forbidden
[x] https://www.marcus.co.uk/.idea/scopes/scope_settings.xml Forbidden
[x] https://www.marcus.co.uk/.idea/modules.xml Forbidden
[x] https://www.marcus.co.uk/.idea/Sites.iml Forbidden
[x] https://www.marcus.co.uk/.idea/tasks.xml Forbidden
[x] https://www.marcus.co.uk/.idea/sqlDataSources.xml Forbidden
[x] https://www.marcus.co.uk/.idea/uiDesigner.xml Forbidden
[x] https://www.marcus.co.uk/.idea/vcs.xml Forbidden
[x] https://www.marcus.co.uk/.idea/woaWordpress.iml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(2).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(3).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(4).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(5).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(6).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace(7).xml Forbidden
[x] https://www.marcus.co.uk/.idea/workspace.xml Forbidden
[x] https://www.marcus.co.uk/.install/composer.phar Forbidden
[x] https://www.marcus.co.uk/.localsettings.php.swp Forbidden
[x] https://www.marcus.co.uk/.mysql_history Forbidden
[x] https://www.marcus.co.uk/.nbproject/ Forbidden
[x] https://www.marcus.co.uk/.passwd Forbidden
[x] https://www.marcus.co.uk/.profile Forbidden
[x] https://www.marcus.co.uk/.psql_history Forbidden
[x] https://www.marcus.co.uk/.server-status/ Forbidden
[x] https://www.marcus.co.uk/.settings.php.swp Forbidden
[x] https://www.marcus.co.uk/.ssh Forbidden
[x] https://www.marcus.co.uk/.ssh/authorized_keys Forbidden
[x] https://www.marcus.co.uk/.ssh/id_dsa Forbidden
[x] https://www.marcus.co.uk/.ssh/id_rsa Forbidden
[x] https://www.marcus.co.uk/.svn/ Forbidden
[x] https://www.marcus.co.uk/.svn/all-wcprops Forbidden
[x] https://www.marcus.co.uk/.svn/entries Forbidden
[x] https://www.marcus.co.uk/.svn/pristine/ Forbidden
[x] https://www.marcus.co.uk/.svn/prop-base/ Forbidden
[x] https://www.marcus.co.uk/.svn/props/ Forbidden
[x] https://www.marcus.co.uk/.svn/text-base/ Forbidden
[x] https://www.marcus.co.uk/.svn/text-base/index.php.svn-base Forbidden
[x] https://www.marcus.co.uk/.svn/tmp/ Forbidden
[x] https://www.marcus.co.uk/.bzr/ Forbidden
[x] https://www.marcus.co.uk/.swp Forbidden
[x] https://www.marcus.co.uk/.temp Forbidden
[x] https://www.marcus.co.uk/.tmp Forbidden
[x] https://www.marcus.co.uk/.viminfo Forbidden
[x] https://www.marcus.co.uk/.wp-config.php.swp Forbidden
[x] https://www.marcus.co.uk/log/error.log Forbidden
[x] https://www.marcus.co.uk/log/www-error.log Forbidden
[x] https://www.marcus.co.uk/logs/error.log Forbidden
[x] https://www.marcus.co.uk/logs/www-error.log Forbidden
[x] https://www.marcus.co.uk/php-fpm/error.log Forbidden
[x] https://www.marcus.co.uk/php-fpm/www-error.log Forbidden
[x] https://www.marcus.co.uk/2015.zip Forbidden
[x] https://www.marcus.co.uk/_.htpasswd Forbidden
[x] https://www.marcus.co.uk/_config.inc Forbidden
[x] https://www.marcus.co.uk/_log/error.log Forbidden
[x] https://www.marcus.co.uk/_logs/error.log Forbidden
[x] https://www.marcus.co.uk/_tmp_war_DefaultWebApp Forbidden
[x] https://www.marcus.co.uk/accounts.jsp Forbidden
[x] https://www.marcus.co.uk/Adm.pl Forbidden
[x] https://www.marcus.co.uk/admin/.htaccess Forbidden
[x] https://www.marcus.co.uk/admin/_logs/error.log Forbidden
[x] https://www.marcus.co.uk/admin/error.log Forbidden
[x] https://www.marcus.co.uk/admin/logs/error.log Forbidden
[x] https://www.marcus.co.uk/admin_0ec Forbidden
[x] https://www.marcus.co.uk/administrator/.htaccess Forbidden
[x] https://www.marcus.co.uk/apache/logs/error.log Forbidden
